title,artist,link
"Tomb of Ferry de Gros, Lord of Dyeghem Nieunland",Unknown,https://collections.ed.ac.uk/art/record/20567?highlight=*:*
Tomb,Susan Robson,https://collections.ed.ac.uk/art/record/22534?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21881?highlight=*:*
Pekin knot sample,Unknown,https://collections.ed.ac.uk/art/record/102730?highlight=*:*
Unknown (1968),Paul Youngs,https://collections.ed.ac.uk/art/record/53591?highlight=*:*
Agriculture,Unknown,https://collections.ed.ac.uk/art/record/20534?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21557?highlight=*:*
Portrait of a Woman (1955),Edith Duke,https://collections.ed.ac.uk/art/record/21218?highlight=*:*
Esme (1949),Betty Elston,https://collections.ed.ac.uk/art/record/22694?highlight=*:*
"Acanthus Scrolls, Temple of Venus Genetrix, Rome",Unknown,https://collections.ed.ac.uk/art/record/20560?highlight=*:*
Oranges (2018),Jessica Gasson,https://collections.ed.ac.uk/art/record/102753?highlight=*:*
Untitled (1963),Kathleen Russell,https://collections.ed.ac.uk/art/record/22014?highlight=*:*
Standing Male Nude (Jan 1958),Walter Miller,https://collections.ed.ac.uk/art/record/20907?highlight=*:*
Standing Male Nude (1953),James Martin,https://collections.ed.ac.uk/art/record/20952?highlight=*:*
Unknown (1946),Alan Lefley,https://collections.ed.ac.uk/art/record/50486?highlight=*:*
Untitled - Figure Drawing of a Man on a Stool (1964),Gordon Bryce,https://collections.ed.ac.uk/art/record/99326?highlight=*:*
Free Fall (1985),Robert Adam,https://collections.ed.ac.uk/art/record/21593?highlight=*:*
Parthenon Frieze in Miniature,John Henning,https://collections.ed.ac.uk/art/record/20584?highlight=*:*
Unknown (1951),Harold F Burnett,https://collections.ed.ac.uk/art/record/50572?highlight=*:*
Crying (2014),Rachel Hill,https://collections.ed.ac.uk/art/record/47448?highlight=*:*
Kneeling Female Nude (1957),Andrew Conkie,https://collections.ed.ac.uk/art/record/20925?highlight=*:*
Standing Woman (1950),John Parnell,https://collections.ed.ac.uk/art/record/21067?highlight=*:*
Horses from South Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20732?highlight=*:*
Standing Male Nude (Dec 1951),M McKeown,https://collections.ed.ac.uk/art/record/21225?highlight=*:*
Plate (1924),Emma Gillies,https://collections.ed.ac.uk/art/record/53726?highlight=*:*
Unknown,Alan M. Alexander,https://collections.ed.ac.uk/art/record/50598?highlight=*:*
Seated Young Male Nude (1948),Victorine Anne Schilsky,https://collections.ed.ac.uk/art/record/20832?highlight=*:*
Gem cabinet 5 (of 6) containing 43 medallions,Unknown,https://collections.ed.ac.uk/art/record/20619?highlight=*:*
Untitled,NA,https://collections.ed.ac.uk/art/record/21840?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/53546?highlight=*:*
Seated Male Nude,John Houston,https://collections.ed.ac.uk/art/record/21044?highlight=*:*
Untitled (1966),Maureen Dawson,https://collections.ed.ac.uk/art/record/99845?highlight=*:*
Sugar Bowl,Emma Gillies,https://collections.ed.ac.uk/art/record/53676?highlight=*:*
Untitled - Portrait of a Girl (1963),L. Allan,https://collections.ed.ac.uk/art/record/99383?highlight=*:*
Unknown,Alexander S Campbell,https://collections.ed.ac.uk/art/record/50632?highlight=*:*
Standing Female Nude (1954),Margaret Proudfoot,https://collections.ed.ac.uk/art/record/21246?highlight=*:*
From Rialto Venezia (10 Mar 1948),Marjorie Wallace,https://collections.ed.ac.uk/art/record/20854?highlight=*:*
Untitled,NA,https://collections.ed.ac.uk/art/record/112505?highlight=*:*
Untitled - Sprite in Long Gown (1963),Iona Murray,https://collections.ed.ac.uk/art/record/99402?highlight=*:*
Grey Cover,Unknown,https://collections.ed.ac.uk/art/record/22633?highlight=*:*
Portrait of a Man (1959),Kenneth Dingwall,https://collections.ed.ac.uk/art/record/21331?highlight=*:*
Woman (1966),James H. Fairgrieve,https://collections.ed.ac.uk/art/record/22617?highlight=*:*
Portrait of a Woman (1957),Colin Turner,https://collections.ed.ac.uk/art/record/21144?highlight=*:*
Man with Spring Plants (1953),Leonard Baskin,https://collections.ed.ac.uk/art/record/21687?highlight=*:*
Unknown (1949),Betty Elston,https://collections.ed.ac.uk/art/record/50583?highlight=*:*
Untitled,Anne Waterhouse,https://collections.ed.ac.uk/art/record/112342?highlight=*:*
Unknown (1952),Rosemary Bagshaw,https://collections.ed.ac.uk/art/record/53520?highlight=*:*
Venice (1951),Sax Shaw,https://collections.ed.ac.uk/art/record/99849?highlight=*:*
Virgin and Child (statuette head of child missing),Unknown,https://collections.ed.ac.uk/art/record/20559?highlight=*:*
Unknown,Elizabeth Blackadder,https://collections.ed.ac.uk/art/record/50638?highlight=*:*
Untitled - Street Scene (1960),Frederick C White,https://collections.ed.ac.uk/art/record/99453?highlight=*:*
Champagne (1993),Robert I Montgomery,https://collections.ed.ac.uk/art/record/99416?highlight=*:*
Standing Male Nude,John Hunter,https://collections.ed.ac.uk/art/record/21043?highlight=*:*
Untitled (Jan 1997),Sharon Cornwill,https://collections.ed.ac.uk/art/record/21920?highlight=*:*
Spinario (Late 19th Century),Musée Royal du Louvre,https://collections.ed.ac.uk/art/record/20574?highlight=*:*
History of a Medium (1971),"Eduardo Luigi Paolozzi KBE, RA",https://collections.ed.ac.uk/art/record/21696?highlight=*:*
Blue Waterfall,Andrew Mackenzie,https://collections.ed.ac.uk/art/record/20751?highlight=*:*
Landscape (1961),Robin Forrester,https://collections.ed.ac.uk/art/record/21294?highlight=*:*
Unknown,Iain Holden,https://collections.ed.ac.uk/art/record/53534?highlight=*:*
Benin Head (1964-1964),Vincent Butler,https://collections.ed.ac.uk/art/record/99224?highlight=*:*
,Zygmunt Bukowski,https://collections.ed.ac.uk/art/record/112513?highlight=*:*
Unknown (1960),Alan M. Alexander,https://collections.ed.ac.uk/art/record/50596?highlight=*:*
Replica cast (brown) of Parthenon slab GE33,Unknown,https://collections.ed.ac.uk/art/record/20657?highlight=*:*
Untitled (Unknown),Annabel Keatley,https://collections.ed.ac.uk/art/record/21609?highlight=*:*
Wall hanging (1939),Unknown,https://collections.ed.ac.uk/art/record/100009?highlight=*:*
November Afternoon (1982),Gwyneth M. Leech,https://collections.ed.ac.uk/art/record/99433?highlight=*:*
Unknown (1964),Cameron,https://collections.ed.ac.uk/art/record/53586?highlight=*:*
The Boundary of Balance (2019),Dong Ding,https://collections.ed.ac.uk/art/record/113743?highlight=*:*
Still Life with Goblets (1959),Alan M. Alexander,https://collections.ed.ac.uk/art/record/22743?highlight=*:*
Untitled (12 Jun 2014),John Nelson,https://collections.ed.ac.uk/art/record/22481?highlight=*:*
Unknown (1965),Laura McPherson,https://collections.ed.ac.uk/art/record/50499?highlight=*:*
Blackwork' sampler. Miss Waddel,Miss Waddell,https://collections.ed.ac.uk/art/record/102670?highlight=*:*
Portrait of a Woman (1957),Andrew McPhee,https://collections.ed.ac.uk/art/record/21064?highlight=*:*
Unknown (1949),John Thomson,https://collections.ed.ac.uk/art/record/50483?highlight=*:*
Unknown (1965),William S. T. Brodie,https://collections.ed.ac.uk/art/record/53597?highlight=*:*
"Metope 3, south entablature, Parthenon (1837)",NA,https://collections.ed.ac.uk/art/record/20641?highlight=*:*
Two Figures in a Landscape,Unknown,https://collections.ed.ac.uk/art/record/21484?highlight=*:*
Stately Dance (1947),Allan W. Robson,https://collections.ed.ac.uk/art/record/21741?highlight=*:*
1st State (Unknown),Euan Gray,https://collections.ed.ac.uk/art/record/21951?highlight=*:*
Untitled (Sucker Darts) (2016),James Howden,https://collections.ed.ac.uk/art/record/113746?highlight=*:*
Seated Female Nude (1954),Elizabeth Blackadder,https://collections.ed.ac.uk/art/record/21409?highlight=*:*
Composition with Washing Line (Circa 1987),Gary Ferguson,https://collections.ed.ac.uk/art/record/22620?highlight=*:*
(2003),Unknown,https://collections.ed.ac.uk/art/record/99930?highlight=*:*
Large Head (Circa 1983),Gwen W. Hardie,https://collections.ed.ac.uk/art/record/22622?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53718?highlight=*:*
Unknown (1953-1954),Peter G. Collins,https://collections.ed.ac.uk/art/record/50540?highlight=*:*
