title,artist,link
Untitled (1969),Richard Easson,https://collections.ed.ac.uk/art/record/99830?highlight=*:*
Portrait of a Young Man (1950),Alexander F Mitchell,https://collections.ed.ac.uk/art/record/21056?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53649?highlight=*:*
Untitled (1983),Robert Rivers,https://collections.ed.ac.uk/art/record/99801?highlight=*:*
Bust of Queen Nefertiti (White),Unknown,https://collections.ed.ac.uk/art/record/20622?highlight=*:*
Seated Male Nude (1955),J Salter,https://collections.ed.ac.uk/art/record/21193?highlight=*:*
Abstract Composition with Blue Stripes (1969),Ian G. Robertson,https://collections.ed.ac.uk/art/record/22562?highlight=*:*
Untitled (1987),Pamela Richardson,https://collections.ed.ac.uk/art/record/21570?highlight=*:*
Horse of Selene from the east pediment,NA,https://collections.ed.ac.uk/art/record/20634?highlight=*:*
Reclining Female Nude (Jan 1958),Walter Miller,https://collections.ed.ac.uk/art/record/20906?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),NA,https://collections.ed.ac.uk/art/record/20691?highlight=*:*
Pylons in the Landscape (01 May 1985),Allison E Sharpe,https://collections.ed.ac.uk/art/record/21468?highlight=*:*
Untitled - Nude Woman in Red Reclining on a Red Couch (1963),Meriel A W de C Acton,https://collections.ed.ac.uk/art/record/99476?highlight=*:*
Untitled (1960),Elizabeth M. Hansen,https://collections.ed.ac.uk/art/record/99838?highlight=*:*
Unknown (1958),Andrew P. W. Conkie,https://collections.ed.ac.uk/art/record/50524?highlight=*:*
Obstacle - Exploded Drawing (2014),Charles Myatt,https://collections.ed.ac.uk/art/record/47456?highlight=*:*
Unknown,Alexander Cree,https://collections.ed.ac.uk/art/record/50548?highlight=*:*
Reclining Male Nude (1949),Zygmunt Bukowski,https://collections.ed.ac.uk/art/record/21324?highlight=*:*
Untitled (2007),Jo Ganter,https://collections.ed.ac.uk/art/record/99974?highlight=*:*
Portrait of a Woman (1953),Mary Edward,https://collections.ed.ac.uk/art/record/21197?highlight=*:*
Untitled (1971),Jan Haycoe,https://collections.ed.ac.uk/art/record/21836?highlight=*:*
Dish (1924),Emma Gillies,https://collections.ed.ac.uk/art/record/122068?highlight=*:*
Unknown (1953),Maurice Chamberlain,https://collections.ed.ac.uk/art/record/50559?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),NA,https://collections.ed.ac.uk/art/record/20694?highlight=*:*
Standing Woman (1965),William Gillon,https://collections.ed.ac.uk/art/record/21315?highlight=*:*
Unknown (1960),Alan M. Alexander,https://collections.ed.ac.uk/art/record/50595?highlight=*:*
Face Value (2007),Annette Kierulf,https://collections.ed.ac.uk/art/record/99902?highlight=*:*
Bloomers,Unknown,https://collections.ed.ac.uk/art/record/102663?highlight=*:*
Standing Man with Scythe,John Houston,https://collections.ed.ac.uk/art/record/20770?highlight=*:*
Woman in a Blue Background,Ian Paterson,https://collections.ed.ac.uk/art/record/22696?highlight=*:*
Four way / Exchange Portfolio (Unknown),Unknown,https://collections.ed.ac.uk/art/record/99854?highlight=*:*
Standing Male Nude (1954),John P Busby,https://collections.ed.ac.uk/art/record/21377?highlight=*:*
Vilnius Academy of Fine Arts,Unknown,https://collections.ed.ac.uk/art/record/99853?highlight=*:*
Standing Male Nude Leaning on Plinth (1959),James C. Y. Gavin,https://collections.ed.ac.uk/art/record/20876?highlight=*:*
Untitled (1969),Rosemary Hamblin,https://collections.ed.ac.uk/art/record/22004?highlight=*:*
Untitled,Kirkland Main,https://collections.ed.ac.uk/art/record/99987?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20726?highlight=*:*
Untitled,John Nichol,https://collections.ed.ac.uk/art/record/112448?highlight=*:*
Untited (1986),Paul Furneaux,https://collections.ed.ac.uk/art/record/21611?highlight=*:*
Portrait of a Man (1956),Lawrence F. Baxter,https://collections.ed.ac.uk/art/record/21182?highlight=*:*
Untitled (1946),Dorothy M. Peach,https://collections.ed.ac.uk/art/record/21738?highlight=*:*
Needle lace mat,Unknown,https://collections.ed.ac.uk/art/record/102712?highlight=*:*
Untitled (1968),Michael Jannarelli,https://collections.ed.ac.uk/art/record/22505?highlight=*:*
Standing Male Nude,John Houston,https://collections.ed.ac.uk/art/record/21047?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21946?highlight=*:*
Ship in the Dockyard,Caroline Boyle,https://collections.ed.ac.uk/art/record/21502?highlight=*:*
Standing Male Nude (1939),Heather Measham,https://collections.ed.ac.uk/art/record/21137?highlight=*:*
Untitled (1986),Sylvia Cameron,https://collections.ed.ac.uk/art/record/21716?highlight=*:*
Leopard,Emma Gillies,https://collections.ed.ac.uk/art/record/122123?highlight=*:*
Standing Male Nude (1959),Lys Hansen,https://collections.ed.ac.uk/art/record/20955?highlight=*:*
Udder Hand (2016),Eden Hawkins,https://collections.ed.ac.uk/art/record/99265?highlight=*:*
"Commercial Street, Leith (Jan 1950)",John W. Corner,https://collections.ed.ac.uk/art/record/50515?highlight=*:*
Standing Male Nude (1959),Kenneth Dingwall,https://collections.ed.ac.uk/art/record/21332?highlight=*:*
Untitled (Unknown),Sabine R,https://collections.ed.ac.uk/art/record/21640?highlight=*:*
Tiger Tiger (Unknown),Enid Marx,https://collections.ed.ac.uk/art/record/21664?highlight=*:*
Untitled (1969),Moira Johnson,https://collections.ed.ac.uk/art/record/22021?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21862?highlight=*:*
Unknown (1950),Francis Curran,https://collections.ed.ac.uk/art/record/50505?highlight=*:*
Hare (1920s),Emma Gillies,https://collections.ed.ac.uk/art/record/122127?highlight=*:*
Two Seated Women and One Standing Woman (1949),Douglas Gordon,https://collections.ed.ac.uk/art/record/21099?highlight=*:*
Small Landscape (1946),Dorothy M. Peach,https://collections.ed.ac.uk/art/record/21069?highlight=*:*
Portrait of Standing Woman seen from behind,Jacqueline A N Stieger,https://collections.ed.ac.uk/art/record/20822?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20671?highlight=*:*
Riders from West Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20666?highlight=*:*
Embroidered panel,Winsome Douglass,https://collections.ed.ac.uk/art/record/113834?highlight=*:*
Unknown (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21867?highlight=*:*
Untitled - Print of Figures Lying in a Garden (1962),Ann F Ward,https://collections.ed.ac.uk/art/record/99337?highlight=*:*
The Dive (1966),William S. T. Brodie,https://collections.ed.ac.uk/art/record/22601?highlight=*:*
Portrait of a Man,Kirsty Ratt,https://collections.ed.ac.uk/art/record/21439?highlight=*:*
Untitled - Nude Female Sitting (1967),Kevin Maguire,https://collections.ed.ac.uk/art/record/99359?highlight=*:*
Untitled (2002),Adrian Rodriguez,https://collections.ed.ac.uk/art/record/99944?highlight=*:*
Unnamed (2002),Ky Ober,https://collections.ed.ac.uk/art/record/99950?highlight=*:*
"Metope 11, south entablature, Parthenon (1837)",NA,https://collections.ed.ac.uk/art/record/20648?highlight=*:*
Untitled (1983),Susan Coles,https://collections.ed.ac.uk/art/record/21892?highlight=*:*
3 peakcocks all sitting in similar position on tree branch (1962-1963),Lesley M. Johns,https://collections.ed.ac.uk/art/record/99331?highlight=*:*
15th Century Italian (Feb 1982),Carol Binnie,https://collections.ed.ac.uk/art/record/21976?highlight=*:*
View from a Window,Sylvia Mackiewicz,https://collections.ed.ac.uk/art/record/21453?highlight=*:*
Dog (1966),James Fairgrieve,https://collections.ed.ac.uk/art/record/21345?highlight=*:*
Unknown (1963),Ruth Walker,https://collections.ed.ac.uk/art/record/50504?highlight=*:*
Standing Female Nude (1957),D G Seymour,https://collections.ed.ac.uk/art/record/20963?highlight=*:*
Stairway (Circa 1979),Jean B. M. Lothian,https://collections.ed.ac.uk/art/record/22636?highlight=*:*
Portrait of a Man (1959),Campbell,https://collections.ed.ac.uk/art/record/20971?highlight=*:*
Seated Female Nude (1939-1940),Robert A Campbell,https://collections.ed.ac.uk/art/record/21128?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/99825?highlight=*:*
Untitled (1965),Wilson,https://collections.ed.ac.uk/art/record/22485?highlight=*:*
Unknown (24 May 1962),John Picking,https://collections.ed.ac.uk/art/record/50551?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20720?highlight=*:*
Hedge Cut (1998),John Brown,https://collections.ed.ac.uk/art/record/21852?highlight=*:*
Unknown (1950),John W. Corner,https://collections.ed.ac.uk/art/record/50519?highlight=*:*
Seated Male Nude with Blanket (1959),W Campbell,https://collections.ed.ac.uk/art/record/20972?highlight=*:*
Untitled (1981),Jodie Pear,https://collections.ed.ac.uk/art/record/21922?highlight=*:*
Kneeling Male Nude (1965-1966),George Donald,https://collections.ed.ac.uk/art/record/21174?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21978?highlight=*:*
Portrait of a Man,A Sinclair,https://collections.ed.ac.uk/art/record/21471?highlight=*:*
Seated Female Nude (Circa 1964),Alexander Moffat,https://collections.ed.ac.uk/art/record/21337?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/53505?highlight=*:*
Unknown (1957),Peter Coyle,https://collections.ed.ac.uk/art/record/50512?highlight=*:*
Untitled (2002),Elaine Bay,https://collections.ed.ac.uk/art/record/99948?highlight=*:*
Seated Female Nude (1954),D Stewart Lowdon,https://collections.ed.ac.uk/art/record/21241?highlight=*:*
19th century handkerchief (1800-1899),Unknown,https://collections.ed.ac.uk/art/record/102683?highlight=*:*
Body Print (1982),Paul Duffus,https://collections.ed.ac.uk/art/record/21965?highlight=*:*
Snow Covered Landscape,Sheila Arnot,https://collections.ed.ac.uk/art/record/21479?highlight=*:*
Portrait of a Man,Michael Douleny,https://collections.ed.ac.uk/art/record/21480?highlight=*:*
Angel Playing Pipes,Unknown,https://collections.ed.ac.uk/art/record/20608?highlight=*:*
Untitled (2002),Ahjae Lim,https://collections.ed.ac.uk/art/record/99936?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/53542?highlight=*:*
Water Dance (Porthmeor) IV (2006),Wilhelmina Barns-Graham CBE HRSA HRSW,https://collections.ed.ac.uk/art/record/54753?highlight=*:*
Aphrodite and Eros East Frieze of the Parthenon,NA,https://collections.ed.ac.uk/art/record/20683?highlight=*:*
Untitled - Man Sitting at the Table Drinking Tea (01 May 1961),John C Mark Jones,https://collections.ed.ac.uk/art/record/99259?highlight=*:*
Taking the Veil (1987),Elspeth Lamb,https://collections.ed.ac.uk/art/record/21924?highlight=*:*
House in a Landscape,Unknown,https://collections.ed.ac.uk/art/record/21501?highlight=*:*
Untitled (2003),Andrea Bain,https://collections.ed.ac.uk/art/record/99928?highlight=*:*
"Barges, 1 Jan '63 (1963)",Geoffrey J Roper,https://collections.ed.ac.uk/art/record/99369?highlight=*:*
High St. Harlesden (1964-1965),Gordon Bryce,https://collections.ed.ac.uk/art/record/99283?highlight=*:*
Game Birds,George Glen,https://collections.ed.ac.uk/art/record/53607?highlight=*:*
Untitled (2002),Kirsty MacDonald,https://collections.ed.ac.uk/art/record/99929?highlight=*:*
Untitled (1963),Ruth Walker,https://collections.ed.ac.uk/art/record/22023?highlight=*:*
Seated Male Nude (1953),Ian Short,https://collections.ed.ac.uk/art/record/20941?highlight=*:*
View of a Street and Market (1948),Marjorie Wallace,https://collections.ed.ac.uk/art/record/20853?highlight=*:*
Part of petticoat,Unknown,https://collections.ed.ac.uk/art/record/100004?highlight=*:*
Zoo 9th May (1962-1963),Lesley M. Johns,https://collections.ed.ac.uk/art/record/99330?highlight=*:*
Bubbie's Bay (2006),Rhoda Rosenburg,https://collections.ed.ac.uk/art/record/99878?highlight=*:*
Untitled (2003),Scott Laverie,https://collections.ed.ac.uk/art/record/93377?highlight=*:*
Seated Female Nude (1953),George Hamilton,https://collections.ed.ac.uk/art/record/20931?highlight=*:*
Portrait of a Woman (1958),John Boyd,https://collections.ed.ac.uk/art/record/20957?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21633?highlight=*:*
Unknown (1985),Sarah Setchfield,https://collections.ed.ac.uk/art/record/50432?highlight=*:*
House and Figures in a Landscape,Judith A. Heller,https://collections.ed.ac.uk/art/record/22578?highlight=*:*
Portrait of a Standing Woman (1950),Edward Stratton,https://collections.ed.ac.uk/art/record/20825?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21713?highlight=*:*
Unknown (1950),Patrick W. Barclay,https://collections.ed.ac.uk/art/record/50620?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53638?highlight=*:*
Cow,Emma Gillies,https://collections.ed.ac.uk/art/record/53752?highlight=*:*
Untitled (Unknown),Renny Tait,https://collections.ed.ac.uk/art/record/21645?highlight=*:*
Unknown (1960),Hugh Deans,https://collections.ed.ac.uk/art/record/53572?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/50419?highlight=*:*
La Messe de Minuit - Église St Eustache (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99342?highlight=*:*
Aduton 51 (1977),Paul Feiler,https://collections.ed.ac.uk/art/record/21666?highlight=*:*
Standing Woman (1959),C Byron,https://collections.ed.ac.uk/art/record/20915?highlight=*:*
Untitled (Unknown),Louisa Burnett Hall,https://collections.ed.ac.uk/art/record/21958?highlight=*:*
Seated Female Nude with Striped Floor Drape,Unknown,https://collections.ed.ac.uk/art/record/22642?highlight=*:*
Untitled (1969),Jennifer M. Hughes,https://collections.ed.ac.uk/art/record/99837?highlight=*:*
Espresso Cup,Emma Gillies,https://collections.ed.ac.uk/art/record/53693?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21621?highlight=*:*
Falling Figure in an Autumn Valley (1968),Alistair T. B. Burns,https://collections.ed.ac.uk/art/record/22589?highlight=*:*
Untitled - Abstract Road (1965),Laura McPherson,https://collections.ed.ac.uk/art/record/99393?highlight=*:*
Portrait of a Woman's Head (1948),Thomson,https://collections.ed.ac.uk/art/record/20842?highlight=*:*
Light Around Limbo (2016),Joseph Glover,https://collections.ed.ac.uk/art/record/99263?highlight=*:*
Untitled (2002),Sarah Sanford,https://collections.ed.ac.uk/art/record/99954?highlight=*:*
Wildflowers and Butterfly (Circa 1954),John P Busby,https://collections.ed.ac.uk/art/record/22627?highlight=*:*
Standing Male Nude (1930-1931),John McNairn,https://collections.ed.ac.uk/art/record/21140?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/53581?highlight=*:*
Untitled (1967),Margaret Lothian,https://collections.ed.ac.uk/art/record/22026?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21870?highlight=*:*
Portrait of a Bearded Man (1960),Marjory Dickson,https://collections.ed.ac.uk/art/record/20992?highlight=*:*
Still Life with Green Boots and Knotted Rope (1987),Sheila Arnot,https://collections.ed.ac.uk/art/record/22543?highlight=*:*
Untitled (1965),Hugh Tuckerman,https://collections.ed.ac.uk/art/record/22025?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21551?highlight=*:*
Drawing of Monaghan (1955),Edith Duke,https://collections.ed.ac.uk/art/record/21217?highlight=*:*
Unknown (1950),Katherine B K Burns,https://collections.ed.ac.uk/art/record/50571?highlight=*:*
Standing Male Nude (1959),Gwen Reilly,https://collections.ed.ac.uk/art/record/21151?highlight=*:*
Inscription Panel from Trajan's Column (right side),Unknown,https://collections.ed.ac.uk/art/record/20537?highlight=*:*
Reclining Female Nude (14 Dec 1952),Llewella Brayne,https://collections.ed.ac.uk/art/record/20940?highlight=*:*
Untitled - Standing Nude Female (1963-1964),Irene G. Thomson,https://collections.ed.ac.uk/art/record/99419?highlight=*:*
Untitled - Nude Woman Wearing Veil (1962),June M. Morgan,https://collections.ed.ac.uk/art/record/99354?highlight=*:*
Townscape with Church (1955),Margaret Proudfoot,https://collections.ed.ac.uk/art/record/21034?highlight=*:*
Untitled (1962),Carl O Ekevall,https://collections.ed.ac.uk/art/record/99497?highlight=*:*
Two Girls by the Harbour (2006),John Bellany,https://collections.ed.ac.uk/art/record/21531?highlight=*:*
Untitled (1983),Unknown,https://collections.ed.ac.uk/art/record/21837?highlight=*:*
Untitled (1968),Maureen Purcell,https://collections.ed.ac.uk/art/record/22499?highlight=*:*
Portrait of Standing Woman wearing Overalls (1959),Denness Morton,https://collections.ed.ac.uk/art/record/20889?highlight=*:*
Unknown,Audry Redpath,https://collections.ed.ac.uk/art/record/50434?highlight=*:*
Swirl V (1998),Fionna Buck,https://collections.ed.ac.uk/art/record/21674?highlight=*:*
Landscape (1951),James P W Syme,https://collections.ed.ac.uk/art/record/20836?highlight=*:*
Reclining Female Nude (1953),Iain West,https://collections.ed.ac.uk/art/record/20783?highlight=*:*
Toledo (1950),Alastair Flattely,https://collections.ed.ac.uk/art/record/21374?highlight=*:*
Standing Female Nude (Nov 1957),Walter Miller,https://collections.ed.ac.uk/art/record/20908?highlight=*:*
Unknown (1950),James Bowman,https://collections.ed.ac.uk/art/record/50610?highlight=*:*
Isobel L Alexander sampler (1944),Isobel L Alexander,https://collections.ed.ac.uk/art/record/102668?highlight=*:*
Seated Female Nude (1958),David Rifat,https://collections.ed.ac.uk/art/record/20873?highlight=*:*
Portrait of a Woman (1959),Kenneth Dingwall,https://collections.ed.ac.uk/art/record/21328?highlight=*:*
Untitled (Unknown),David Giblin,https://collections.ed.ac.uk/art/record/21635?highlight=*:*
Unknown (1957),Alejandro B. Brasó,https://collections.ed.ac.uk/art/record/50602?highlight=*:*
Untitled (1967),Laurence Roche,https://collections.ed.ac.uk/art/record/22480?highlight=*:*
Bust of Queen Nefertiti (Coloured),NA,https://collections.ed.ac.uk/art/record/20621?highlight=*:*
Study for Mural - Industrial Unrest,R Callender,https://collections.ed.ac.uk/art/record/21147?highlight=*:*
No 98 (1960),John Johnstone,https://collections.ed.ac.uk/art/record/99256?highlight=*:*
Minoan Fertility Goddess Figurines (2017),Daisy Silver,https://collections.ed.ac.uk/art/record/100015?highlight=*:*
Craigleith Island July '92 (1992),Delia M Surplice,https://collections.ed.ac.uk/art/record/99415?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/99960?highlight=*:*
Italian quilting in frame,Unknown,https://collections.ed.ac.uk/art/record/102666?highlight=*:*
Portrait of a Man (1968),Donald C S Shaw,https://collections.ed.ac.uk/art/record/21403?highlight=*:*
Tskihrva (Unknown),Boris Bućan,https://collections.ed.ac.uk/art/record/22043?highlight=*:*
Untitled - Cubist Guitar Player (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99350?highlight=*:*
Legless Graham (Unknown),Jennifer Blake,https://collections.ed.ac.uk/art/record/21997?highlight=*:*
Landscape (1987),Brian Godley,https://collections.ed.ac.uk/art/record/112496?highlight=*:*
Untitled (1964),Carol Handyside,https://collections.ed.ac.uk/art/record/99840?highlight=*:*
Unknown (1968),Kenneth R Duffy,https://collections.ed.ac.uk/art/record/99514?highlight=*:*
Felicity Who Went to Peru (1986),Faye Banks,https://collections.ed.ac.uk/art/record/21897?highlight=*:*
Male Nude with Staff (verso),Zygmunt Bukowski,https://collections.ed.ac.uk/art/record/22654?highlight=*:*
Portrait of a Woman (1939),Olivia Cochrane,https://collections.ed.ac.uk/art/record/21132?highlight=*:*
Plate (1924),Emma Gillies,https://collections.ed.ac.uk/art/record/53727?highlight=*:*
Jug,Emma Gillies,https://collections.ed.ac.uk/art/record/53741?highlight=*:*
Pair of sleeves,Unknown,https://collections.ed.ac.uk/art/record/102676?highlight=*:*
Black Bodice (1996),Anna Millar,https://collections.ed.ac.uk/art/record/22612?highlight=*:*
Three Views of a Standing Male Nude with hand on hip (1948),John Thompson,https://collections.ed.ac.uk/art/record/20845?highlight=*:*
Hairy Veg (2016),Eden Hawkins,https://collections.ed.ac.uk/art/record/99266?highlight=*:*
Untitled - Children Playing (1963),Monika L I Uecker,https://collections.ed.ac.uk/art/record/99445?highlight=*:*
Portrait of a Bearded Man (1956),James Lennox,https://collections.ed.ac.uk/art/record/21192?highlight=*:*
Unknown (1957),Peter G. Collins,https://collections.ed.ac.uk/art/record/50399?highlight=*:*
Reclining Male Nude (Feb 1951),L Weir,https://collections.ed.ac.uk/art/record/21223?highlight=*:*
Unknown (1994),Esther Tacke,https://collections.ed.ac.uk/art/record/21914?highlight=*:*
Standing Man with Scythe,John Houston,https://collections.ed.ac.uk/art/record/21046?highlight=*:*
Study for picture 'Waking of Brynhildr' (1897),Pavlov Chailly,https://collections.ed.ac.uk/art/record/50470?highlight=*:*
Portrait of a Woman (1949),Leszek Muszynski,https://collections.ed.ac.uk/art/record/21076?highlight=*:*
Small Portrait of a Woman in Brown,Polly A. Lister,https://collections.ed.ac.uk/art/record/22672?highlight=*:*
Woodland #4 (2007),Asbjorn Hollerud,https://collections.ed.ac.uk/art/record/99898?highlight=*:*
Untitled - Abstract Forest Landscape (1965-1966),Laura McPherson,https://collections.ed.ac.uk/art/record/99391?highlight=*:*
Unknown (1952),Leonard I. H. Gray,https://collections.ed.ac.uk/art/record/53487?highlight=*:*
Untitled - Three Horse Riders (1963),Iona Murray,https://collections.ed.ac.uk/art/record/99403?highlight=*:*
Teapot Lid,Emma Gillies,https://collections.ed.ac.uk/art/record/53745?highlight=*:*
Portrait of a Young Man (1951),Pamela D Moore,https://collections.ed.ac.uk/art/record/21050?highlight=*:*
Seated Male Nude in High-back Chair (1969),James Campbell,https://collections.ed.ac.uk/art/record/21270?highlight=*:*
Graveyard and Church Ruins,Alistair Hartleby (?),https://collections.ed.ac.uk/art/record/21498?highlight=*:*
Untitled (1962),Deborah Eadie,https://collections.ed.ac.uk/art/record/112447?highlight=*:*
Unknown (18 May 1948),Edward A. Gage,https://collections.ed.ac.uk/art/record/50630?highlight=*:*
Hyde Park,Unknown,https://collections.ed.ac.uk/art/record/50476?highlight=*:*
Archway,Louise Allardyce,https://collections.ed.ac.uk/art/record/21524?highlight=*:*
Figures and Sunshine (1962),Leon Francesco Morrocco,https://collections.ed.ac.uk/art/record/21400?highlight=*:*
Untitled (1980),Unknown,https://collections.ed.ac.uk/art/record/99824?highlight=*:*
Untitled - Portrait of a Man (1968),Alistair Bell,https://collections.ed.ac.uk/art/record/99378?highlight=*:*
Unknown (24 Jan 1947),Eric Forrest,https://collections.ed.ac.uk/art/record/50588?highlight=*:*
Poirtrait of a Man,A Sinclair,https://collections.ed.ac.uk/art/record/21440?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/53541?highlight=*:*
Opuntia Basilaris Engelmann and Bigelow 1957 (1993-1994),Jane Watt,https://collections.ed.ac.uk/art/record/99459?highlight=*:*
Portrait of a Man (1959),John O'Neill,https://collections.ed.ac.uk/art/record/21154?highlight=*:*
Unknown (1958),Andrew P. W. Conkie,https://collections.ed.ac.uk/art/record/50525?highlight=*:*
Cow,Emma Gillies,https://collections.ed.ac.uk/art/record/53757?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/50381?highlight=*:*
Nude in Studio Interior (1896),Samuel John Peploe,https://collections.ed.ac.uk/art/record/20739?highlight=*:*
Untitled (Unknown),Marjorie Ann,https://collections.ed.ac.uk/art/record/99907?highlight=*:*
Portrait (1954),Ursula Giles,https://collections.ed.ac.uk/art/record/21207?highlight=*:*
Quick Sketch (1950),Patrick W. Barclay,https://collections.ed.ac.uk/art/record/50619?highlight=*:*
Design folio (1961),Sheila Flinn,https://collections.ed.ac.uk/art/record/102686?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53707?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53672?highlight=*:*
Untitled (1994),Sara Ogilvie,https://collections.ed.ac.uk/art/record/21961?highlight=*:*
Transposition (Red and Gold) (2014),Emma Smith,https://collections.ed.ac.uk/art/record/47457?highlight=*:*
Couple Near a Window,Unknown,https://collections.ed.ac.uk/art/record/22597?highlight=*:*
Bust of the Prima Porta Augustus Caesar (Post 1863),NA,https://collections.ed.ac.uk/art/record/20549?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53645?highlight=*:*
Dispersion (1991),Alastair Clark,https://collections.ed.ac.uk/art/record/21911?highlight=*:*
Unknown,George Roderick Carmichael,https://collections.ed.ac.uk/art/record/50566?highlight=*:*
Reclining Male Nude (1954),Alex Sutherland,https://collections.ed.ac.uk/art/record/21248?highlight=*:*
Portrait of a Seated Woman (1954),John P Busby,https://collections.ed.ac.uk/art/record/21376?highlight=*:*
Untitled (1954),Ian Hodkinson,https://collections.ed.ac.uk/art/record/111041?highlight=*:*
Unttiled (Unknown),Adam M Martin,https://collections.ed.ac.uk/art/record/21830?highlight=*:*
Untitled (2003),Robin Kukiel,https://collections.ed.ac.uk/art/record/99932?highlight=*:*
Unknown (1949),Richard Lovell,https://collections.ed.ac.uk/art/record/50488?highlight=*:*
Untitled (Unknown),Margaret Clyde,https://collections.ed.ac.uk/art/record/21628?highlight=*:*
Jug,Emma Gillies,https://collections.ed.ac.uk/art/record/53623?highlight=*:*
Espresso Cup,Emma Gillies,https://collections.ed.ac.uk/art/record/53701?highlight=*:*
Untitled - Drawing of Harbour (1967),Isobel T Johnstone,https://collections.ed.ac.uk/art/record/99255?highlight=*:*
Untitled (1966),Jean Selby,https://collections.ed.ac.uk/art/record/22478?highlight=*:*
Distortion 2 (2014),Ainsley Francis,https://collections.ed.ac.uk/art/record/47453?highlight=*:*
Broderie Anglais jacket,Unknown,https://collections.ed.ac.uk/art/record/102664?highlight=*:*
Reclining Male Nude (1957),William J. Dungate,https://collections.ed.ac.uk/art/record/20964?highlight=*:*
Standing Woman,John Bellany,https://collections.ed.ac.uk/art/record/20766?highlight=*:*
Embroidered panel,Winsome Douglass,https://collections.ed.ac.uk/art/record/113835?highlight=*:*
Homage to Ernest Hemingway (Circa 1967),Michael Docherty,https://collections.ed.ac.uk/art/record/20750?highlight=*:*
Portrait of a Man (1951),James Wilson,https://collections.ed.ac.uk/art/record/21226?highlight=*:*
Untitled - Figure Drawing of A Woman Sitting on the Side of a Chair (1964-1965),Gordon Bryce,https://collections.ed.ac.uk/art/record/99274?highlight=*:*
Untitled (1984),Unknown,https://collections.ed.ac.uk/art/record/21602?highlight=*:*
Fish in a Whirlpool (1953),Hans Jelinek,https://collections.ed.ac.uk/art/record/21653?highlight=*:*
Unknown,Alistair Fairweather,https://collections.ed.ac.uk/art/record/50426?highlight=*:*
Unknown (1947-1948),Marjorie Wallace,https://collections.ed.ac.uk/art/record/50444?highlight=*:*
Unknown (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21904?highlight=*:*
Untitled (2007),Rob Hunter,https://collections.ed.ac.uk/art/record/99893?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21988?highlight=*:*
North Berwick from Belhaven Bay (Unknown),Catherine Orbach,https://collections.ed.ac.uk/art/record/21792?highlight=*:*
Seated Man in Traditional Dress (1960s),Barreton,https://collections.ed.ac.uk/art/record/21290?highlight=*:*
Reclining Female Nude (1953),Mary Edmond,https://collections.ed.ac.uk/art/record/20895?highlight=*:*
Landscape (Circa 1988),Arlene Isbister,https://collections.ed.ac.uk/art/record/22604?highlight=*:*
Seated Female Nude (1953),Laura Nye,https://collections.ed.ac.uk/art/record/21117?highlight=*:*
Untitled (2006),Siri Gossman,https://collections.ed.ac.uk/art/record/99883?highlight=*:*
Beginning (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21926?highlight=*:*
